"id","group","sex","age","baseline","mid","post","skewed_outcome","binary_outcome","category_three","constant","predictor","predictor_collinear"
1,"Control","Female",39.3,48.67,48.99,50.34,0.04,"No","Low",1,40.19,80.38
2,"Control","Male",33.2,44.84,43.66,44.89,15.09,"No","Medium",1,34.45,68.9
3,"Control","Non-binary",36.5,53.48,52.49,58.49,2.63,"Yes","High",1,38.73,77.46
4,"Control","Female",20.8,,50.26,52.01,17.11,"No","Low",1,25.79,51.58
5,"Control","Male",16.1,51.69,50.62,54.2,8.59,"No","Medium",1,17.57,35.14
6,"Control","Non-binary",40.2,53.58,54.31,62.62,1.86,"No","High",1,40.45,80.9
7,"Control","Female",38.6,53.08,63.36,56.82,1.95,"Yes","Low",1,38.64,77.28
8,"Control","Male",30,38.74,41.88,,2.95,"No","Medium",1,32.74,65.48
9,"Control","Non-binary",54.4,47.49,47.79,52.9,2.55,"Yes","High",1,53.14,106.28
10,"Control","Female",17.9,52.65,45.93,53.27,16.78,"No","Low",1,18.71,37.42
11,"Control","Male",27.5,47.82,51.83,51.21,1.53,"No","Medium",1,26.01,52.02
12,"Control","Non-binary",38.9,44.33,47.77,50.69,6.61,"No",,1,39.26,78.52
13,"Control","Female",27.3,58.15,53.36,64.17,2.38,"Yes","Low",1,29.03,58.06
14,"Control","Male",51.2,51.89,49.38,56.09,1.21,"No","Medium",1,50.91,101.82
15,"Control","Non-binary",38.3,59.49,64.83,65.63,8.12,"No","High",1,34.8,69.6
16,"Control","Female",47.8,53.88,61.32,60.73,22.97,"No","Low",1,44.83,89.66
17,"Control","Male",23.9,48.39,49.78,48.22,0.18,"No","Medium",1,26.14,52.28
18,"Control","Non-binary",12.6,47.53,50.52,53.74,36.27,"No","High",1,9.8,19.6
19,"Control","Female",43.2,,63.43,,6.35,"No","Low",1,40.35,80.7
20,"Control","Male",53.2,59.69,62.81,58.9,2.8,"No","Medium",1,50.88,101.76
21,"Control","Non-binary",35.3,42.66,46.13,46.2,14.69,"No","High",1,32.59,65.18
22,"Control","Female",30.1,38.33,39.19,45.26,23.96,"Yes","Low",1,32.12,64.24
